This file contains the downward and upward spectral flux (per wavelength) at TOA and the secondary eclipse depth (= planet to star flux ratio).
Spectral fluxes given in [erg s^-1 cm^-3].
bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   F_down_at_TOA   F_up_at_TOA     planet/star flux ratio  
201     0.664806955       0.663700787          0.00221233596      1.48746e+09     5.48842e+11     0.556175                
202     0.667022978       0.665913123          0.00221971041      1.46833e+09     5.36221e+11     0.550462                
203     0.669246388       0.668132834          0.00222710945      1.44946e+09     5.7695e+11      0.599986                
204     0.67147721        0.670359943          0.00223453314      1.43082e+09     5.78366e+11     0.609293                
205     0.673715467       0.672594476          0.00224198159      1.41242e+09     5.67879e+11     0.606038                
206     0.675961185       0.674836458          0.00224945486      1.39426e+09     5.75961e+11     0.622671                
207     0.678214389       0.677085913          0.00225695304      1.37632e+09     6.42547e+11     0.703709                
208     0.680475104       0.679342866          0.00226447622      1.35862e+09     6.38229e+11     0.708088                
209     0.682743354       0.681607342          0.00227202447      1.34114e+09     6.3895e+11      0.718125                
210     0.685019165       0.683879366          0.00227959789      1.32389e+09     6.26336e+11     0.713122                
211     0.687302563       0.686158964          0.00228719655      1.30685e+09     7.06903e+11     0.815343                
212     0.689593571       0.688446161          0.00229482054      1.29004e+09     7.08422e+11     0.827747                
213     0.691892216       0.690740981          0.00230246994      1.27344e+09     6.82833e+11     0.808249                
214     0.694198524       0.693043451          0.00231014484      1.25705e+09     7.18147e+11     0.861132                
215     0.696512519       0.695353596          0.00231784532      1.24087e+09     7.31452e+11     0.888524                
216     0.698834227       0.697671441          0.00232557147      1.22489e+09     7.47186e+11     0.919472                
217     0.701163675       0.699997013          0.00233332338      1.20912e+09     7.55707e+11     0.942086                
218     0.703500887       0.702330336          0.00234110112      1.19356e+09     7.76561e+11     0.98071                 
219     0.70584589        0.704671437          0.00234890479      1.17819e+09     7.77202e+11     0.994323                
220     0.708198709       0.707020342          0.00235673447      1.16302e+09     7.57033e+11     0.981154                
221     0.710559372       0.709377077          0.00236459026      1.14804e+09     7.88082e+11     1.03472                 
222     0.712927903       0.711741667          0.00237247222      1.13325e+09     7.98984e+11     1.06272                 
223     0.715304329       0.714114139          0.00238038046      1.11865e+09     7.94633e+11     1.07073                 
224     0.717688677       0.71649452           0.00238831507      1.10424e+09     8.18623e+11     1.11745                 
225     0.720080973       0.718882835          0.00239627612      1.09002e+09     8.38222e+11     1.15913                 
226     0.722481243       0.721279111          0.0024042637       1.07597e+09     8.56633e+11     1.20006                 
227     0.724889513       0.723683374          0.00241227791      1.06211e+09     8.59642e+11     1.21999                 
228     0.727305812       0.726095652          0.00242031884      1.04842e+09     8.63845e+11     1.24196                 
229     0.729730165       0.728515971          0.00242838657      1.03491e+09     8.61703e+11     1.25506                 
230     0.732162598       0.730944358          0.00243648119      1.02157e+09     8.69144e+11     1.28242                 
231     0.73460314        0.733380839          0.0024446028       1.0084e+09      8.9795e+11      1.34223                 
232     0.737051818       0.735825442          0.00245275147      9.95402e+08     9.30574e+11     1.40916                 
233     0.739508657       0.738278193          0.00246092731      9.82568e+08     9.48197e+11     1.4546                  
234     0.741973686       0.740739121          0.0024691304       9.699e+08       9.57679e+11     1.48834                 
235     0.744446931       0.743208251          0.00247736084      9.57393e+08     9.6762e+11      1.52343                 
